go_term,bg_count,top_count,p_value,q_value
blood vessel development,201,4,0.035012020437149495,0.07797042081427227
mitotic spindle,396,6,0.03530200606250121,0.07797042081427227
defense response to virus,613,8,0.03554208751606806,0.07797042081427227
chromosome organization,202,4,0.03555398660306774,0.07797042081427227
recycling endosome membrane,296,5,0.035610110019093554,0.07797042081427227
canonical Wnt signaling pathway,296,5,0.035610110019093554,0.07797042081427227
protein localization to cilium,118,3,0.03565048096597506,0.07797042081427227
gonad development,118,3,0.03565048096597506,0.07797042081427227
protein K11-linked ubiquitination,118,3,0.03565048096597506,0.07797042081427227
trans-synaptic signaling by trans-synaptic complex,6,1,0.03589378770720096,0.07797042081427227
negative regulation of chemotaxis,6,1,0.03589378770720096,0.07797042081427227
TRAM-dependent toll-like receptor 4 signaling pathway,6,1,0.03589378770720096,0.07797042081427227
positive regulation of vascular associated smooth muscle cell dedifferentiation,6,1,0.03589378770720096,0.07797042081427227
histone H2AXY142 phosphatase activity,6,1,0.03589378770720096,0.07797042081427227
positive regulation of protein kinase C signaling,6,1,0.03589378770720096,0.07797042081427227
embryonic nail plate morphogenesis,6,1,0.03589378770720096,0.07797042081427227
perinucleolar chromocenter,6,1,0.03589378770720096,0.07797042081427227
metanephric nephron development,6,1,0.03589378770720096,0.07797042081427227
regulation of glial cell differentiation,6,1,0.03589378770720096,0.07797042081427227
mesodermal to mesenchymal transition involved in gastrulation,6,1,0.03589378770720096,0.07797042081427227
membrane depolarization during atrial cardiac muscle cell action potential,6,1,0.03589378770720096,0.07797042081427227
ACF complex,6,1,0.03589378770720096,0.07797042081427227
voltage-gated calcium channel activity involved in AV node cell action potential,6,1,0.03589378770720096,0.07797042081427227
CSF1-CSF1R complex,6,1,0.03589378770720096,0.07797042081427227
maintenance of protein location in plasma membrane,6,1,0.03589378770720096,0.07797042081427227
regulation of chemokine (C-X-C motif) ligand 2 production,6,1,0.03589378770720096,0.07797042081427227
regulation of amyloid fibril formation,6,1,0.03589378770720096,0.07797042081427227
death receptor agonist activity,6,1,0.03589378770720096,0.07797042081427227
negative regulation of dopaminergic neuron differentiation,6,1,0.03589378770720096,0.07797042081427227
histone H3K27ac reader activity,6,1,0.03589378770720096,0.07797042081427227
GMP binding,6,1,0.03589378770720096,0.07797042081427227
micturition,6,1,0.03589378770720096,0.07797042081427227
positive regulation of Schwann cell differentiation,6,1,0.03589378770720096,0.07797042081427227
negative regulation of cell adhesion involved in substrate-bound cell migration,6,1,0.03589378770720096,0.07797042081427227
autophagy of peroxisome,6,1,0.03589378770720096,0.07797042081427227
histone H3K9ac reader activity,6,1,0.03589378770720096,0.07797042081427227
regulation of type II interferon-mediated signaling pathway,6,1,0.03589378770720096,0.07797042081427227
negative regulation of endodermal cell differentiation,6,1,0.03589378770720096,0.07797042081427227
membrane depolarization during bundle of His cell action potential,6,1,0.03589378770720096,0.07797042081427227
histone H3S28 kinase activity,6,1,0.03589378770720096,0.07797042081427227
regulation of cell fate commitment,6,1,0.03589378770720096,0.07797042081427227
regulation of amyloid-beta clearance,6,1,0.03589378770720096,0.07797042081427227
"histone H4K16 deacetylase activity, hydrolytic mechanism",6,1,0.03589378770720096,0.07797042081427227
"positive regulation of substrate-dependent cell migration, cell attachment to substrate",6,1,0.03589378770720096,0.07797042081427227
collagen type II trimer,6,1,0.03589378770720096,0.07797042081427227
nuclear cyclin-dependent protein kinase holoenzyme complex,6,1,0.03589378770720096,0.07797042081427227
histone deacetylase inhibitor activity,6,1,0.03589378770720096,0.07797042081427227
TIR domain binding,6,1,0.03589378770720096,0.07797042081427227
beige fat cell differentiation,6,1,0.03589378770720096,0.07797042081427227
metanephric comma-shaped body morphogenesis,6,1,0.03589378770720096,0.07797042081427227
positive regulation of endoplasmic reticulum calcium ion concentration,6,1,0.03589378770720096,0.07797042081427227
positive regulation of cardiac neural crest cell migration involved in outflow tract morphogenesis,6,1,0.03589378770720096,0.07797042081427227
tear secretion,6,1,0.03589378770720096,0.07797042081427227
positive regulation of transforming growth factor beta3 production,6,1,0.03589378770720096,0.07797042081427227
A2A adenosine receptor binding,6,1,0.03589378770720096,0.07797042081427227
cyclin D2-CDK4 complex,6,1,0.03589378770720096,0.07797042081427227
ventricular zone neuroblast division,6,1,0.03589378770720096,0.07797042081427227
platelet dense tubular network,6,1,0.03589378770720096,0.07797042081427227
Lewy body core,6,1,0.03589378770720096,0.07797042081427227
regulation of membrane repolarization during action potential,6,1,0.03589378770720096,0.07797042081427227
cellular response to heparin,6,1,0.03589378770720096,0.07797042081427227
lens placode formation involved in camera-type eye formation,6,1,0.03589378770720096,0.07797042081427227
negative regulation of macrophage colony-stimulating factor signaling pathway,6,1,0.03589378770720096,0.07797042081427227
monoatomic ion-gated channel activity,6,1,0.03589378770720096,0.07797042081427227
positive regulation of sodium:proton antiporter activity,6,1,0.03589378770720096,0.07797042081427227
negative regulation of transcription initiation-coupled chromatin remodeling,6,1,0.03589378770720096,0.07797042081427227
regulation of neurofibrillary tangle assembly,6,1,0.03589378770720096,0.07797042081427227
regulation of atrial cardiac muscle cell action potential,6,1,0.03589378770720096,0.07797042081427227
"regulation of complement activation, alternative pathway",6,1,0.03589378770720096,0.07797042081427227
vesicle scission,6,1,0.03589378770720096,0.07797042081427227
pro-T cell differentiation,6,1,0.03589378770720096,0.07797042081427227
extracellularly glutamate-gated ion channel activity,6,1,0.03589378770720096,0.07797042081427227
negative regulation of invasive growth in response to glucose limitation,6,1,0.03589378770720096,0.07797042081427227
mRNA (2'-O-methyladenosine-N6-)-methyltransferase activity,6,1,0.03589378770720096,0.07797042081427227
luteinizing hormone secretion,6,1,0.03589378770720096,0.07797042081427227
inhibin-betaglycan-ActRII complex,6,1,0.03589378770720096,0.07797042081427227
induction of programmed cell death,6,1,0.03589378770720096,0.07797042081427227
thyroid-stimulating hormone receptor activity,6,1,0.03589378770720096,0.07797042081427227
protein myristoylation,6,1,0.03589378770720096,0.07797042081427227
glomerular mesangial cell development,6,1,0.03589378770720096,0.07797042081427227
positive regulation of growth hormone receptor signaling pathway,6,1,0.03589378770720096,0.07797042081427227
RNA NAD+-cap (NAD+-forming) hydrolase activity,6,1,0.03589378770720096,0.07797042081427227
cellular response to sterol,6,1,0.03589378770720096,0.07797042081427227
thymocyte apoptotic process,6,1,0.03589378770720096,0.07797042081427227
calcium ion transport from cytosol to endoplasmic reticulum,6,1,0.03589378770720096,0.07797042081427227
negative regulation of hydrogen peroxide-induced neuron intrinsic apoptotic signaling pathway,6,1,0.03589378770720096,0.07797042081427227
olfactory nerve development,6,1,0.03589378770720096,0.07797042081427227
positive regulation of myeloid dendritic cell chemotaxis,6,1,0.03589378770720096,0.07797042081427227
negative regulation of miRNA processing,6,1,0.03589378770720096,0.07797042081427227
positive regulation of saliva secretion,6,1,0.03589378770720096,0.07797042081427227
positive regulation of interleukin-4-mediated signaling pathway,6,1,0.03589378770720096,0.07797042081427227
C-5 sterol desaturase activity,6,1,0.03589378770720096,0.07797042081427227
release of sequestered calcium ion into cytosol by endoplasmic reticulum,6,1,0.03589378770720096,0.07797042081427227
folate import across plasma membrane,6,1,0.03589378770720096,0.07797042081427227
filiform apparatus,6,1,0.03589378770720096,0.07797042081427227
laminin-421 trimer,6,1,0.03589378770720096,0.07797042081427227
positive regulation of metanephric glomerulus development,6,1,0.03589378770720096,0.07797042081427227
positive regulation of metanephric mesenchymal cell migration by platelet-derived growth factor receptor-beta signaling pathway,6,1,0.03589378770720096,0.07797042081427227
termination of signal transduction,6,1,0.03589378770720096,0.07797042081427227
otic placode development,6,1,0.03589378770720096,0.07797042081427227
tendon cell differentiation,6,1,0.03589378770720096,0.07797042081427227
cellular response to corticosterone stimulus,6,1,0.03589378770720096,0.07797042081427227
cellular response to fluoride,6,1,0.03589378770720096,0.07797042081427227
negative regulation of membrane permeability,6,1,0.03589378770720096,0.07797042081427227
positive regulation of cell proliferation by VEGF-activated platelet derived growth factor receptor signaling pathway,6,1,0.03589378770720096,0.07797042081427227
laminin-411 trimer,6,1,0.03589378770720096,0.07797042081427227
laminin-321 trimer,6,1,0.03589378770720096,0.07797042081427227
laminin-521 trimer,6,1,0.03589378770720096,0.07797042081427227
positive regulation of lipase activity,6,1,0.03589378770720096,0.07797042081427227
tetrahydrobiopterin binding,6,1,0.03589378770720096,0.07797042081427227
laminin-221 trimer,6,1,0.03589378770720096,0.07797042081427227
regulation of plasminogen activation,6,1,0.03589378770720096,0.07797042081427227
"inositol-1,3,4,5-tetrakisphosphate 6-kinase activity",6,1,0.03589378770720096,0.07797042081427227
regulation of stress granule assembly,6,1,0.03589378770720096,0.07797042081427227
acyl-CoA (8-3)-desaturase activity,6,1,0.03589378770720096,0.07797042081427227
prostate gland morphogenesis,6,1,0.03589378770720096,0.07797042081427227
neural crest cell fate commitment,6,1,0.03589378770720096,0.07797042081427227
mesenchymal cell proliferation involved in lung development,6,1,0.03589378770720096,0.07797042081427227
adrenomedullin receptor complex,6,1,0.03589378770720096,0.07797042081427227
ARF protein signal transduction,6,1,0.03589378770720096,0.07797042081427227
positive regulation of testosterone secretion,6,1,0.03589378770720096,0.07797042081427227
ATF1-ATF4 transcription factor complex,6,1,0.03589378770720096,0.07797042081427227
positive regulation of ATPase-coupled calcium transmembrane transporter activity,6,1,0.03589378770720096,0.07797042081427227
negative regulation of pro-B cell differentiation,6,1,0.03589378770720096,0.07797042081427227
intrinsic apoptotic signaling pathway in response to hydrogen peroxide,6,1,0.03589378770720096,0.07797042081427227
myeloid dendritic cell activation involved in immune response,6,1,0.03589378770720096,0.07797042081427227
cell pole,6,1,0.03589378770720096,0.07797042081427227
negative regulation of non-motile cilium assembly,6,1,0.03589378770720096,0.07797042081427227
telomerase catalytic core complex,6,1,0.03589378770720096,0.07797042081427227
positive regulation of cardiac muscle myoblast proliferation,6,1,0.03589378770720096,0.07797042081427227
positive regulation of mast cell cytokine production,6,1,0.03589378770720096,0.07797042081427227
cellular response to actinomycin D,6,1,0.03589378770720096,0.07797042081427227
regulation of calcium ion import across plasma membrane,6,1,0.03589378770720096,0.07797042081427227
laminin-311 trimer,6,1,0.03589378770720096,0.07797042081427227
positive regulation of calcium ion-dependent exocytosis of neurotransmitter,6,1,0.03589378770720096,0.07797042081427227
positive regulation of small intestine smooth muscle contraction,6,1,0.03589378770720096,0.07797042081427227
cell trailing edge,6,1,0.03589378770720096,0.07797042081427227
positive regulation of low-density lipoprotein particle receptor catabolic process,6,1,0.03589378770720096,0.07797042081427227
regulation of vesicle-mediated transport,49,2,0.035906231525423764,0.07797042081427227
negative regulation of interleukin-10 production,49,2,0.035906231525423764,0.07797042081427227
anterograde synaptic vesicle transport,49,2,0.035906231525423764,0.07797042081427227
regulation of cell communication,49,2,0.035906231525423764,0.07797042081427227
central nervous system myelination,49,2,0.035906231525423764,0.07797042081427227
phosphorus-oxygen lyase activity,119,3,0.036412471148674186,0.07901242380775714
actomyosin structure organization,119,3,0.036412471148674186,0.07901242380775714
cyclin-dependent protein serine/threonine kinase activity,120,3,0.037182791333338266,0.08060666188306331
response to hormone,205,4,0.0372089284654677,0.08060666188306331
CENP-A containing chromatin assembly,50,2,0.03725484055640662,0.08060666188306331
urogenital system development,50,2,0.03725484055640662,0.08060666188306331
positive regulation of vascular endothelial cell proliferation,50,2,0.03725484055640662,0.08060666188306331
positive regulation of glial cell proliferation,50,2,0.03725484055640662,0.08060666188306331
ventricular cardiac muscle tissue morphogenesis,50,2,0.03725484055640662,0.08060666188306331
"translation factor activity, RNA binding",50,2,0.03725484055640662,0.08060666188306331
roof of mouth development,121,3,0.03796142163208234,0.0821057978167357
positive regulation of telomere maintenance via telomerase,51,2,0.03862262953822206,0.08329525686150951
neuroblast proliferation,51,2,0.03862262953822206,0.08329525686150951
negative regulation of telomere maintenance via telomerase,51,2,0.03862262953822206,0.08329525686150951
snRNA transcription by RNA polymerase II,51,2,0.03862262953822206,0.08329525686150951
cellular response to nitric oxide,51,2,0.03862262953822206,0.08329525686150951
negative regulation of intracellular signal transduction,51,2,0.03862262953822206,0.08329525686150951
clathrin-coated endocytic vesicle,51,2,0.03862262953822206,0.08329525686150951
behavioral response to pain,51,2,0.03862262953822206,0.08329525686150951
negative regulation of T cell proliferation,122,3,0.038748341434357826,0.08350623132435013
regulation of microtubule cytoskeleton organization,122,3,0.038748341434357826,0.08350623132435013
peptide hormone binding,123,3,0.03954352941432899,0.08515864712780162
protein phosphatase 1 binding,123,3,0.03954352941432899,0.08515864712780162
transcription elongation-coupled chromatin remodeling,52,2,0.04000931629263017,0.08606889198152375
skeletal muscle tissue regeneration,52,2,0.04000931629263017,0.08606889198152375
regulation of signal transduction by p53 class mediator,52,2,0.04000931629263017,0.08606889198152375
phosphatidylinositol phosphate biosynthetic process,210,4,0.04006407407073254,0.08615574133199899
lipid homeostasis,211,4,0.040649647728105545,0.08622031683517054
response to type II interferon,125,3,0.04115862112471571,0.08622031683517054
external side of plasma membrane,1616,16,0.041241163890736905,0.08622031683517054
vascular endothelial growth factor signaling pathway,53,2,0.041414621359651724,0.08622031683517054
regulation of neurotransmitter receptor localization to postsynaptic specialization membrane,53,2,0.041414621359651724,0.08622031683517054
intracellular transport,53,2,0.041414621359651724,0.08622031683517054
apical dendrite,53,2,0.041414621359651724,0.08622031683517054
negative regulation of cholesterol efflux,53,2,0.041414621359651724,0.08622031683517054
regulation of presynaptic cytosolic calcium ion concentration,53,2,0.041414621359651724,0.08622031683517054
endoderm formation,53,2,0.041414621359651724,0.08622031683517054
H zone,7,1,0.041749694243111465,0.08622031683517054
netrin receptor binding,7,1,0.041749694243111465,0.08622031683517054
plastid envelope,7,1,0.041749694243111465,0.08622031683517054
histone H3K9 dimethyltransferase activity,7,1,0.041749694243111465,0.08622031683517054
hydroxymethylglutaryl-CoA reductase (NADPH) activity,7,1,0.041749694243111465,0.08622031683517054
tRNA gene clustering,7,1,0.041749694243111465,0.08622031683517054
negative regulation of vascular associated smooth muscle contraction,7,1,0.041749694243111465,0.08622031683517054
negative regulation of T-helper 2 cell cytokine production,7,1,0.041749694243111465,0.08622031683517054
pericyte cell differentiation,7,1,0.041749694243111465,0.08622031683517054
hindbrain tangential cell migration,7,1,0.041749694243111465,0.08622031683517054
inorganic cation import across plasma membrane,7,1,0.041749694243111465,0.08622031683517054
phosphatidylglycerol binding,7,1,0.041749694243111465,0.08622031683517054
"GDP-mannose 4,6-dehydratase activity",7,1,0.041749694243111465,0.08622031683517054
"inositol-3,4,5,6-tetrakisphosphate 1-kinase activity",7,1,0.041749694243111465,0.08622031683517054
positive regulation of phosphate metabolic process,7,1,0.041749694243111465,0.08622031683517054
positive regulation of mononuclear cell proliferation,7,1,0.041749694243111465,0.08622031683517054
endosome to plasma membrane transport vesicle,7,1,0.041749694243111465,0.08622031683517054
regulation of macrophage differentiation,7,1,0.041749694243111465,0.08622031683517054
neuropilin signaling pathway,7,1,0.041749694243111465,0.08622031683517054
positive regulation of peptidyl-lysine acetylation,7,1,0.041749694243111465,0.08622031683517054
regulation of interleukin-12 production,7,1,0.041749694243111465,0.08622031683517054
"inositol-1,3,4-trisphosphate 5-kinase activity",7,1,0.041749694243111465,0.08622031683517054
regulation of interferon-beta production,7,1,0.041749694243111465,0.08622031683517054
histone H3K14ub reader activity,7,1,0.041749694243111465,0.08622031683517054
positive regulation of ovarian follicle development,7,1,0.041749694243111465,0.08622031683517054
cell migration involved in endocardial cushion formation,7,1,0.041749694243111465,0.08622031683517054
regulation of NADP metabolic process,7,1,0.041749694243111465,0.08622031683517054
regulation of mitotic recombination,7,1,0.041749694243111465,0.08622031683517054
positive regulation of cellular response to oxidative stress,7,1,0.041749694243111465,0.08622031683517054
positive regulation of keratinocyte apoptotic process,7,1,0.041749694243111465,0.08622031683517054
negative regulation of autophagic cell death,7,1,0.041749694243111465,0.08622031683517054
negative regulation of adherens junction organization,7,1,0.041749694243111465,0.08622031683517054
acyl-CoA desaturase activity,7,1,0.041749694243111465,0.08622031683517054
club cell differentiation,7,1,0.041749694243111465,0.08622031683517054
positive regulation of protein K48-linked ubiquitination,7,1,0.041749694243111465,0.08622031683517054
Fas signaling pathway,7,1,0.041749694243111465,0.08622031683517054
negative regulation of serotonin uptake,7,1,0.041749694243111465,0.08622031683517054
G protein-coupled receptor dimeric complex,7,1,0.041749694243111465,0.08622031683517054
positive regulation of melanocyte differentiation,7,1,0.041749694243111465,0.08622031683517054
intronic transcription regulatory region sequence-specific DNA binding,7,1,0.041749694243111465,0.08622031683517054
prechordal plate formation,7,1,0.041749694243111465,0.08622031683517054
positive regulation of protein localization to endoplasmic reticulum,7,1,0.041749694243111465,0.08622031683517054
laminin-111 trimer,7,1,0.041749694243111465,0.08622031683517054
phospholipase C activator activity,7,1,0.041749694243111465,0.08622031683517054
DNA synthesis involved in UV-damage excision repair,7,1,0.041749694243111465,0.08622031683517054
cargo receptor ligand activity,7,1,0.041749694243111465,0.08622031683517054
protein localization to cleavage furrow,7,1,0.041749694243111465,0.08622031683517054
cardiac vascular smooth muscle cell development,7,1,0.041749694243111465,0.08622031683517054
negative regulation of mRNA metabolic process,7,1,0.041749694243111465,0.08622031683517054
positive regulation of synaptic vesicle exocytosis,7,1,0.041749694243111465,0.08622031683517054
lateral motor column neuron migration,7,1,0.041749694243111465,0.08622031683517054
late viral transcription,7,1,0.041749694243111465,0.08622031683517054
tetrahydrobiopterin metabolic process,7,1,0.041749694243111465,0.08622031683517054
positive regulation of synapse structural plasticity,7,1,0.041749694243111465,0.08622031683517054
positive regulation of CAMKK-AMPK signaling cascade,7,1,0.041749694243111465,0.08622031683517054
alanine:sodium symporter activity,7,1,0.041749694243111465,0.08622031683517054
Golgi trans cisterna membrane,7,1,0.041749694243111465,0.08622031683517054
"trans-synaptic signaling by BDNF, modulating synaptic transmission",7,1,0.041749694243111465,0.08622031683517054
oligodendrocyte apoptotic process,7,1,0.041749694243111465,0.08622031683517054
negative regulation of glucokinase activity,7,1,0.041749694243111465,0.08622031683517054
negative regulation of hematopoietic progenitor cell differentiation,7,1,0.041749694243111465,0.08622031683517054
metanephric glomerular capillary formation,7,1,0.041749694243111465,0.08622031683517054
methylation-dependent protein binding,7,1,0.041749694243111465,0.08622031683517054
positive regulation of antifungal innate immune response,7,1,0.041749694243111465,0.08622031683517054
nucleoside binding,7,1,0.041749694243111465,0.08622031683517054
regulation of retrograde trans-synaptic signaling by endocanabinoid,7,1,0.041749694243111465,0.08622031683517054
regulation of respiratory burst,7,1,0.041749694243111465,0.08622031683517054
macrophage colony-stimulating factor receptor binding,7,1,0.041749694243111465,0.08622031683517054
macrophage colony-stimulating factor signaling pathway,7,1,0.041749694243111465,0.08622031683517054
lymphatic endothelial cell fate commitment,7,1,0.041749694243111465,0.08622031683517054
cardiac chamber development,7,1,0.041749694243111465,0.08622031683517054
cardiac left ventricle formation,7,1,0.041749694243111465,0.08622031683517054
cell cortex of cell tip,7,1,0.041749694243111465,0.08622031683517054
positive regulation of inhibitory synapse assembly,7,1,0.041749694243111465,0.08622031683517054
lncRNA catabolic process,7,1,0.041749694243111465,0.08622031683517054
positive regulation of hormone biosynthetic process,7,1,0.041749694243111465,0.08622031683517054
atrioventricular node cell development,7,1,0.041749694243111465,0.08622031683517054
positive regulation of hepatic stellate cell proliferation,7,1,0.041749694243111465,0.08622031683517054
positive regulation of heparan sulfate proteoglycan biosynthetic process,7,1,0.041749694243111465,0.08622031683517054
ventral trunk neural crest cell migration,7,1,0.041749694243111465,0.08622031683517054
skeletal muscle cell proliferation,7,1,0.041749694243111465,0.08622031683517054
negative regulation of intracellular steroid hormone receptor signaling pathway,7,1,0.041749694243111465,0.08622031683517054
positive regulation of glomerular filtration,7,1,0.041749694243111465,0.08622031683517054
calcium-independent cell-matrix adhesion,7,1,0.041749694243111465,0.08622031683517054
response to platelet-derived growth factor,7,1,0.041749694243111465,0.08622031683517054
renal albumin absorption,7,1,0.041749694243111465,0.08622031683517054
regulation of striated muscle cell differentiation,7,1,0.041749694243111465,0.08622031683517054
"mRNA splicing, via endonucleolytic cleavage and ligation",7,1,0.041749694243111465,0.08622031683517054
ventricular cardiac myofibril assembly,7,1,0.041749694243111465,0.08622031683517054
positive regulation of transcription from RNA polymerase II promoter by glucose,7,1,0.041749694243111465,0.08622031683517054
negative regulation of dendritic cell antigen processing and presentation,7,1,0.041749694243111465,0.08622031683517054
bundle of His development,7,1,0.041749694243111465,0.08622031683517054
Rho GDP-dissociation inhibitor binding,7,1,0.041749694243111465,0.08622031683517054
CHOP-C/EBP complex,7,1,0.041749694243111465,0.08622031683517054
extrinsic component of synaptic membrane,7,1,0.041749694243111465,0.08622031683517054
mesodermal cell fate determination,7,1,0.041749694243111465,0.08622031683517054
positive regulation of glucose mediated signaling pathway,7,1,0.041749694243111465,0.08622031683517054
smooth muscle contraction involved in micturition,7,1,0.041749694243111465,0.08622031683517054
structural constituent of postsynapse,7,1,0.041749694243111465,0.08622031683517054
negative regulation of glomerular mesangial cell proliferation,7,1,0.041749694243111465,0.08622031683517054
regulation of glutamate secretion,7,1,0.041749694243111465,0.08622031683517054
positive regulation of termination of RNA polymerase II transcription,7,1,0.041749694243111465,0.08622031683517054
response to cobalamin,7,1,0.041749694243111465,0.08622031683517054
"regulation of CD8-positive, alpha-beta T cell proliferation",7,1,0.041749694243111465,0.08622031683517054
"alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase activity",7,1,0.041749694243111465,0.08622031683517054
cellular response to calcium ion,213,4,0.04183534054036432,0.08633764800008337
transport vesicle,213,4,0.04183534054036432,0.08633764800008337
neurotransmitter secretion,126,3,0.04197847875696496,0.08660320677763113
cortical cytoskeleton organization,54,2,0.042838267968545694,0.08807359658895303
regulation of feeding behavior,54,2,0.042838267968545694,0.08807359658895303
estrous cycle,54,2,0.042838267968545694,0.08807359658895303
"inositol 1,4,5 trisphosphate binding",54,2,0.042838267968545694,0.08807359658895303
phospholipase binding,54,2,0.042838267968545694,0.08807359658895303
ubiquitin-ubiquitin ligase activity,54,2,0.042838267968545694,0.08807359658895303
FAR/SIN/STRIPAK complex,54,2,0.042838267968545694,0.08807359658895303
enzyme-linked receptor protein signaling pathway,54,2,0.042838267968545694,0.08807359658895303
positive regulation of macrophage activation,54,2,0.042838267968545694,0.08807359658895303
cellular response to low-density lipoprotein particle stimulus,54,2,0.042838267968545694,0.08807359658895303
protein modification process,128,3,0.04364269735355162,0.0896966762012425
post-embryonic development,217,4,0.04426488788722897,0.09081945626906496
negative regulation of protein localization to plasma membrane,55,2,0.044279982017977906,0.09081945626906496
acetylcholine receptor binding,55,2,0.044279982017977906,0.09081945626906496
execution phase of apoptosis,55,2,0.044279982017977906,0.09081945626906496
tropomyosin binding,55,2,0.044279982017977906,0.09081945626906496
regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum,55,2,0.044279982017977906,0.09081945626906496
site of double-strand break,315,5,0.04445930703669612,0.09115603897390381
detection of temperature stimulus involved in sensory perception of pain,56,2,0.04573949205006206,0.09346087270140623
positive regulation of long-term synaptic potentiation,56,2,0.04573949205006206,0.09346087270140623
cyclin-dependent protein serine/threonine kinase inhibitor activity,56,2,0.04573949205006206,0.09346087270140623
lymph vessel development,56,2,0.04573949205006206,0.09346087270140623
WW domain binding,56,2,0.04573949205006206,0.09346087270140623
inositol phosphate biosynthetic process,56,2,0.04573949205006206,0.09346087270140623
intracellular mRNA localization,56,2,0.04573949205006206,0.09346087270140623
positive regulation of neutrophil chemotaxis,56,2,0.04573949205006206,0.09346087270140623
regulation of BMP signaling pathway,56,2,0.04573949205006206,0.09346087270140623
elastic fiber,56,2,0.04573949205006206,0.09346087270140623
antigen processing and presentation of exogenous peptide antigen via MHC class II,131,3,0.04619990370599428,0.09383964287993246
regulation of cilium assembly,131,3,0.04619990370599428,0.09383964287993246
monoatomic ion transport,1774,17,0.04654181762535031,0.09383964287993246
axon extension,132,3,0.047068434451880026,0.09383964287993246
retinoic acid binding,57,2,0.04721652923750135,0.09383964287993246
cGMP binding,57,2,0.04721652923750135,0.09383964287993246
filopodium tip,57,2,0.04721652923750135,0.09383964287993246
negative regulation of B cell differentiation,8,1,0.04757007109425195,0.09383964287993246
negative regulation of gamma-aminobutyric acid secretion,8,1,0.04757007109425195,0.09383964287993246
negative regulation of extracellular matrix constituent secretion,8,1,0.04757007109425195,0.09383964287993246
optic cup morphogenesis involved in camera-type eye development,8,1,0.04757007109425195,0.09383964287993246
orbitofrontal cortex development,8,1,0.04757007109425195,0.09383964287993246
negative regulation of aldosterone biosynthetic process,8,1,0.04757007109425195,0.09383964287993246
negative regulation of protein refolding,8,1,0.04757007109425195,0.09383964287993246
bud elongation involved in lung branching,8,1,0.04757007109425195,0.09383964287993246
regulation of adherens junction organization,8,1,0.04757007109425195,0.09383964287993246
glycosaminoglycan-protein linkage region biosynthetic process,8,1,0.04757007109425195,0.09383964287993246
protein localization to cell periphery,8,1,0.04757007109425195,0.09383964287993246
extrasynaptic signaling via GABA,8,1,0.04757007109425195,0.09383964287993246
neuregulin receptor activity,8,1,0.04757007109425195,0.09383964287993246
zinc ion import into lysosome,8,1,0.04757007109425195,0.09383964287993246
ceramide phosphoethanolamine synthase activity,8,1,0.04757007109425195,0.09383964287993246
negative regulation of monoatomic ion transport,8,1,0.04757007109425195,0.09383964287993246
detection of cold stimulus involved in thermoception,8,1,0.04757007109425195,0.09383964287993246
dense core granule cytoskeletal transport,8,1,0.04757007109425195,0.09383964287993246
laminin-211 trimer,8,1,0.04757007109425195,0.09383964287993246
astrocyte activation involved in immune response,8,1,0.04757007109425195,0.09383964287993246
positive regulation of NK T cell differentiation,8,1,0.04757007109425195,0.09383964287993246
response to ketone,8,1,0.04757007109425195,0.09383964287993246
vitamin D response element binding,8,1,0.04757007109425195,0.09383964287993246
regulation of cell development,8,1,0.04757007109425195,0.09383964287993246
ISGF3 complex,8,1,0.04757007109425195,0.09383964287993246
ISG15 transferase activity,8,1,0.04757007109425195,0.09383964287993246
negative regulation of tubulin deacetylation,8,1,0.04757007109425195,0.09383964287993246
negative regulation of follicle-stimulating hormone secretion,8,1,0.04757007109425195,0.09383964287993246
maintenance of unfolded protein,8,1,0.04757007109425195,0.09383964287993246
regulation of metanephric nephron tubule epithelial cell differentiation,8,1,0.04757007109425195,0.09383964287993246
granzyme-mediated apoptotic signaling pathway,8,1,0.04757007109425195,0.09383964287993246
presynaptic endocytic zone,8,1,0.04757007109425195,0.09383964287993246
diapedesis,8,1,0.04757007109425195,0.09383964287993246
olfactory bulb interneuron development,8,1,0.04757007109425195,0.09383964287993246
regulation of transcription initiation by RNA polymerase II,8,1,0.04757007109425195,0.09383964287993246
regulation of extracellular matrix assembly,8,1,0.04757007109425195,0.09383964287993246
prostate epithelial cord arborization involved in prostate glandular acinus morphogenesis,8,1,0.04757007109425195,0.09383964287993246
follicular B cell differentiation,8,1,0.04757007109425195,0.09383964287993246
regulation of relaxation of cardiac muscle,8,1,0.04757007109425195,0.09383964287993246
positive regulation of oligodendrocyte progenitor proliferation,8,1,0.04757007109425195,0.09383964287993246
negative regulation of primary miRNA processing,8,1,0.04757007109425195,0.09383964287993246
positive regulation by virus of viral protein levels in host cell,8,1,0.04757007109425195,0.09383964287993246
negative regulation of pancreatic juice secretion,8,1,0.04757007109425195,0.09383964287993246
positive regulation of apoptotic process involved in morphogenesis,8,1,0.04757007109425195,0.09383964287993246
voltage-gated potassium channel activity involved in cardiac muscle cell action potential repolarization,8,1,0.04757007109425195,0.09383964287993246
regulation of spontaneous synaptic transmission,8,1,0.04757007109425195,0.09383964287993246
regulation of germinal center formation,8,1,0.04757007109425195,0.09383964287993246
regulation of ERAD pathway,8,1,0.04757007109425195,0.09383964287993246
