symbol,unique_domain_count,domain_list,total_raw_traits
LINC-PINT,8,"Anthropometric_and_Skeletal, Metabolic_and_Lipid, Immune_and_Autoimmune, Hematological, Cardiovascular, Cancer_and_Neoplasm, Neurological_and_Psychiatric, Hepatic_and_Renal",469
PSD3,8,"Metabolic_and_Lipid, Neurological_and_Psychiatric, Hepatic_and_Renal, Anthropometric_and_Skeletal, Cancer_and_Neoplasm, Hematological, Immune_and_Autoimmune, Cardiovascular",466
CPS1,8,"Metabolic_and_Lipid, Hepatic_and_Renal, Immune_and_Autoimmune, Hematological, Cardiovascular, Neurological_and_Psychiatric, Cancer_and_Neoplasm, Anthropometric_and_Skeletal",455
LIPG,8,"Metabolic_and_Lipid, Neurological_and_Psychiatric, Immune_and_Autoimmune, Cancer_and_Neoplasm, Hematological, Cardiovascular, Anthropometric_and_Skeletal, Hepatic_and_Renal",454
HLA-C,8,"Immune_and_Autoimmune, Cancer_and_Neoplasm, Anthropometric_and_Skeletal, Metabolic_and_Lipid, Hematological, Neurological_and_Psychiatric, Hepatic_and_Renal, Cardiovascular",443
POLR1HASP,8,"Immune_and_Autoimmune, Hematological, Neurological_and_Psychiatric, Anthropometric_and_Skeletal, Metabolic_and_Lipid, Cardiovascular, Cancer_and_Neoplasm, Hepatic_and_Renal",441
KLF14,8,"Metabolic_and_Lipid, Anthropometric_and_Skeletal, Cardiovascular, Neurological_and_Psychiatric, Cancer_and_Neoplasm, Immune_and_Autoimmune, Hematological, Hepatic_and_Renal",422
MTCO3P1,8,"Immune_and_Autoimmune, Hematological, Anthropometric_and_Skeletal, Cancer_and_Neoplasm, Cardiovascular, Metabolic_and_Lipid, Hepatic_and_Renal, Neurological_and_Psychiatric",379
HLA-DRB9,8,"Immune_and_Autoimmune, Neurological_and_Psychiatric, Hematological, Anthropometric_and_Skeletal, Metabolic_and_Lipid, Cancer_and_Neoplasm, Hepatic_and_Renal, Cardiovascular",377
TCF7L2,8,"Metabolic_and_Lipid, Anthropometric_and_Skeletal, Cardiovascular, Cancer_and_Neoplasm, Hematological, Neurological_and_Psychiatric, Immune_and_Autoimmune, Hepatic_and_Renal",376
SNORD3P1,8,"Anthropometric_and_Skeletal, Cancer_and_Neoplasm, Metabolic_and_Lipid, Hematological, Cardiovascular, Neurological_and_Psychiatric, Hepatic_and_Renal, Immune_and_Autoimmune",357
SCARB1,8,"Metabolic_and_Lipid, Anthropometric_and_Skeletal, Hematological, Hepatic_and_Renal, Cancer_and_Neoplasm, Cardiovascular, Immune_and_Autoimmune, Neurological_and_Psychiatric",350
HNF4A,8,"Metabolic_and_Lipid, Immune_and_Autoimmune, Hematological, Neurological_and_Psychiatric, Hepatic_and_Renal, Cancer_and_Neoplasm, Cardiovascular, Anthropometric_and_Skeletal",348
HLA-DRA,8,"Immune_and_Autoimmune, Metabolic_and_Lipid, Cancer_and_Neoplasm, Hepatic_and_Renal, Anthropometric_and_Skeletal, Neurological_and_Psychiatric, Hematological, Cardiovascular",345
SUGP1,8,"Anthropometric_and_Skeletal, Metabolic_and_Lipid, Neurological_and_Psychiatric, Hepatic_and_Renal, Hematological, Cardiovascular, Immune_and_Autoimmune, Cancer_and_Neoplasm",338
CCDC26,8,"Anthropometric_and_Skeletal, Immune_and_Autoimmune, Hematological, Cancer_and_Neoplasm, Metabolic_and_Lipid, Hepatic_and_Renal, Neurological_and_Psychiatric, Cardiovascular",332
EBF1,8,"Metabolic_and_Lipid, Anthropometric_and_Skeletal, Cardiovascular, Immune_and_Autoimmune, Cancer_and_Neoplasm, Hematological, Neurological_and_Psychiatric, Hepatic_and_Renal",330
LYPLAL1-AS1,8,"Anthropometric_and_Skeletal, Metabolic_and_Lipid, Hematological, Immune_and_Autoimmune, Cardiovascular, Neurological_and_Psychiatric, Hepatic_and_Renal, Cancer_and_Neoplasm",320
HLA-DRB5,8,"Immune_and_Autoimmune, Neurological_and_Psychiatric, Metabolic_and_Lipid, Cancer_and_Neoplasm, Hematological, Anthropometric_and_Skeletal, Cardiovascular, Hepatic_and_Renal",319
ARID1A,8,"Metabolic_and_Lipid, Immune_and_Autoimmune, Anthropometric_and_Skeletal, Hematological, Cardiovascular, Cancer_and_Neoplasm, Hepatic_and_Renal, Neurological_and_Psychiatric",317
RFLNA,8,"Metabolic_and_Lipid, Anthropometric_and_Skeletal, Neurological_and_Psychiatric, Hematological, Immune_and_Autoimmune, Cardiovascular, Hepatic_and_Renal, Cancer_and_Neoplasm",316
SLC22A5,8,"Metabolic_and_Lipid, Immune_and_Autoimmune, Cardiovascular, Anthropometric_and_Skeletal, Hematological, Neurological_and_Psychiatric, Hepatic_and_Renal, Cancer_and_Neoplasm",312
RORA,8,"Immune_and_Autoimmune, Anthropometric_and_Skeletal, Metabolic_and_Lipid, Hematological, Neurological_and_Psychiatric, Hepatic_and_Renal, Cancer_and_Neoplasm, Cardiovascular",311
CCND2-AS1,8,"Anthropometric_and_Skeletal, Immune_and_Autoimmune, Hematological, Cardiovascular, Metabolic_and_Lipid, Cancer_and_Neoplasm, Neurological_and_Psychiatric, Hepatic_and_Renal",301
SYNE2,8,"Anthropometric_and_Skeletal, Hematological, Cancer_and_Neoplasm, Cardiovascular, Metabolic_and_Lipid, Immune_and_Autoimmune, Hepatic_and_Renal, Neurological_and_Psychiatric",301
PEPD,8,"Metabolic_and_Lipid, Anthropometric_and_Skeletal, Hematological, Cardiovascular, Immune_and_Autoimmune, Neurological_and_Psychiatric, Hepatic_and_Renal, Cancer_and_Neoplasm",300
BUD13,8,"Metabolic_and_Lipid, Cancer_and_Neoplasm, Immune_and_Autoimmune, Hematological, Anthropometric_and_Skeletal, Cardiovascular, Neurological_and_Psychiatric, Hepatic_and_Renal",298
BANK1,8,"Cardiovascular, Metabolic_and_Lipid, Neurological_and_Psychiatric, Immune_and_Autoimmune, Hematological, Cancer_and_Neoplasm, Anthropometric_and_Skeletal, Hepatic_and_Renal",297
H2BC4,8,"Metabolic_and_Lipid, Hematological, Neurological_and_Psychiatric, Cardiovascular, Anthropometric_and_Skeletal, Immune_and_Autoimmune, Hepatic_and_Renal, Cancer_and_Neoplasm",294
CDKAL1,8,"Anthropometric_and_Skeletal, Hematological, Metabolic_and_Lipid, Cardiovascular, Immune_and_Autoimmune, Cancer_and_Neoplasm, Neurological_and_Psychiatric, Hepatic_and_Renal",292
RBFOX1,8,"Metabolic_and_Lipid, Immune_and_Autoimmune, Neurological_and_Psychiatric, Cardiovascular, Cancer_and_Neoplasm, Anthropometric_and_Skeletal, Hematological, Hepatic_and_Renal",292
JAZF1,8,"Anthropometric_and_Skeletal, Immune_and_Autoimmune, Metabolic_and_Lipid, Cancer_and_Neoplasm, Cardiovascular, Hepatic_and_Renal, Neurological_and_Psychiatric, Hematological",291
CSMD1,8,"Anthropometric_and_Skeletal, Hepatic_and_Renal, Neurological_and_Psychiatric, Metabolic_and_Lipid, Immune_and_Autoimmune, Cardiovascular, Cancer_and_Neoplasm, Hematological",289
RNU6-192P,8,"Anthropometric_and_Skeletal, Metabolic_and_Lipid, Immune_and_Autoimmune, Hematological, Neurological_and_Psychiatric, Cardiovascular, Hepatic_and_Renal, Cancer_and_Neoplasm",288
RREB1,8,"Anthropometric_and_Skeletal, Immune_and_Autoimmune, Cancer_and_Neoplasm, Hepatic_and_Renal, Metabolic_and_Lipid, Hematological, Cardiovascular, Neurological_and_Psychiatric",285
LCORL,8,"Anthropometric_and_Skeletal, Cancer_and_Neoplasm, Metabolic_and_Lipid, Cardiovascular, Neurological_and_Psychiatric, Hematological, Hepatic_and_Renal, Immune_and_Autoimmune",277
ASTN2,8,"Anthropometric_and_Skeletal, Metabolic_and_Lipid, Hepatic_and_Renal, Cardiovascular, Immune_and_Autoimmune, Cancer_and_Neoplasm, Neurological_and_Psychiatric, Hematological",274
SNX13,8,"Metabolic_and_Lipid, Anthropometric_and_Skeletal, Hematological, Immune_and_Autoimmune, Neurological_and_Psychiatric, Cardiovascular, Cancer_and_Neoplasm, Hepatic_and_Renal",271
SUFU,8,"Anthropometric_and_Skeletal, Immune_and_Autoimmune, Hematological, Cardiovascular, Cancer_and_Neoplasm, Metabolic_and_Lipid, Hepatic_and_Renal, Neurological_and_Psychiatric",269
FOXP1,8,"Metabolic_and_Lipid, Cancer_and_Neoplasm, Immune_and_Autoimmune, Hematological, Neurological_and_Psychiatric, Cardiovascular, Anthropometric_and_Skeletal, Hepatic_and_Renal",268
IGF2R,8,"Anthropometric_and_Skeletal, Hematological, Metabolic_and_Lipid, Neurological_and_Psychiatric, Immune_and_Autoimmune, Cardiovascular, Hepatic_and_Renal, Cancer_and_Neoplasm",268
CARINH,8,"Hematological, Immune_and_Autoimmune, Metabolic_and_Lipid, Cardiovascular, Hepatic_and_Renal, Anthropometric_and_Skeletal, Cancer_and_Neoplasm, Neurological_and_Psychiatric",267
DLEU1,8,"Metabolic_and_Lipid, Anthropometric_and_Skeletal, Immune_and_Autoimmune, Cardiovascular, Hepatic_and_Renal, Hematological, Cancer_and_Neoplasm, Neurological_and_Psychiatric",265
TTC39B,8,"Metabolic_and_Lipid, Neurological_and_Psychiatric, Anthropometric_and_Skeletal, Cardiovascular, Hepatic_and_Renal, Cancer_and_Neoplasm, Immune_and_Autoimmune, Hematological",264
L3MBTL3,8,"Anthropometric_and_Skeletal, Metabolic_and_Lipid, Hepatic_and_Renal, Hematological, Immune_and_Autoimmune, Cancer_and_Neoplasm, Neurological_and_Psychiatric, Cardiovascular",263
THADA,8,"Metabolic_and_Lipid, Anthropometric_and_Skeletal, Hematological, Cardiovascular, Immune_and_Autoimmune, Cancer_and_Neoplasm, Hepatic_and_Renal, Neurological_and_Psychiatric",262
BCL2,8,"Metabolic_and_Lipid, Anthropometric_and_Skeletal, Immune_and_Autoimmune, Hematological, Cardiovascular, Cancer_and_Neoplasm, Hepatic_and_Renal, Neurological_and_Psychiatric",261
SHROOM3,8,"Hepatic_and_Renal, Metabolic_and_Lipid, Hematological, Anthropometric_and_Skeletal, Cardiovascular, Cancer_and_Neoplasm, Neurological_and_Psychiatric, Immune_and_Autoimmune",261
MC4R,8,"Metabolic_and_Lipid, Anthropometric_and_Skeletal, Immune_and_Autoimmune, Cardiovascular, Neurological_and_Psychiatric, Cancer_and_Neoplasm, Hepatic_and_Renal, Hematological",259
ARL15,8,"Hepatic_and_Renal, Metabolic_and_Lipid, Anthropometric_and_Skeletal, Neurological_and_Psychiatric, Cardiovascular, Hematological, Immune_and_Autoimmune, Cancer_and_Neoplasm",258
TET2,8,"Anthropometric_and_Skeletal, Hepatic_and_Renal, Metabolic_and_Lipid, Immune_and_Autoimmune, Hematological, Neurological_and_Psychiatric, Cancer_and_Neoplasm, Cardiovascular",257
UBE2L3,8,"Metabolic_and_Lipid, Immune_and_Autoimmune, Hematological, Anthropometric_and_Skeletal, Neurological_and_Psychiatric, Cardiovascular, Hepatic_and_Renal, Cancer_and_Neoplasm",256
MRC1,8,"Anthropometric_and_Skeletal, Immune_and_Autoimmune, Hematological, Hepatic_and_Renal, Neurological_and_Psychiatric, Metabolic_and_Lipid, Cardiovascular, Cancer_and_Neoplasm",252
UBA52P7,8,"Metabolic_and_Lipid, Anthropometric_and_Skeletal, Cardiovascular, Hematological, Cancer_and_Neoplasm, Hepatic_and_Renal, Immune_and_Autoimmune, Neurological_and_Psychiatric",251
HCP5,8,"Immune_and_Autoimmune, Hematological, Metabolic_and_Lipid, Hepatic_and_Renal, Neurological_and_Psychiatric, Cancer_and_Neoplasm, Anthropometric_and_Skeletal, Cardiovascular",250
LINC03007,8,"Anthropometric_and_Skeletal, Hematological, Cardiovascular, Metabolic_and_Lipid, Neurological_and_Psychiatric, Hepatic_and_Renal, Immune_and_Autoimmune, Cancer_and_Neoplasm",248
TERT,8,"Immune_and_Autoimmune, Cancer_and_Neoplasm, Metabolic_and_Lipid, Hematological, Cardiovascular, Hepatic_and_Renal, Neurological_and_Psychiatric, Anthropometric_and_Skeletal",246
TCF4,8,"Anthropometric_and_Skeletal, Metabolic_and_Lipid, Hepatic_and_Renal, Cardiovascular, Neurological_and_Psychiatric, Immune_and_Autoimmune, Cancer_and_Neoplasm, Hematological",244
TBX3-AS1,8,"Anthropometric_and_Skeletal, Cardiovascular, Hematological, Cancer_and_Neoplasm, Hepatic_and_Renal, Immune_and_Autoimmune, Metabolic_and_Lipid, Neurological_and_Psychiatric",243
PIK3R1,8,"Hepatic_and_Renal, Anthropometric_and_Skeletal, Metabolic_and_Lipid, Hematological, Cardiovascular, Neurological_and_Psychiatric, Immune_and_Autoimmune, Cancer_and_Neoplasm",242
BMAL1,8,"Metabolic_and_Lipid, Anthropometric_and_Skeletal, Hematological, Neurological_and_Psychiatric, Cardiovascular, Immune_and_Autoimmune, Cancer_and_Neoplasm, Hepatic_and_Renal",240
CASC15,8,"Anthropometric_and_Skeletal, Metabolic_and_Lipid, Hematological, Immune_and_Autoimmune, Cardiovascular, Neurological_and_Psychiatric, Cancer_and_Neoplasm, Hepatic_and_Renal",240
C2,8,"Hepatic_and_Renal, Immune_and_Autoimmune, Cancer_and_Neoplasm, Metabolic_and_Lipid, Neurological_and_Psychiatric, Cardiovascular, Hematological, Anthropometric_and_Skeletal",239
HCG27,8,"Metabolic_and_Lipid, Immune_and_Autoimmune, Cardiovascular, Hematological, Neurological_and_Psychiatric, Cancer_and_Neoplasm, Anthropometric_and_Skeletal, Hepatic_and_Renal",238
LINC02227,8,"Anthropometric_and_Skeletal, Immune_and_Autoimmune, Cardiovascular, Metabolic_and_Lipid, Hematological, Neurological_and_Psychiatric, Hepatic_and_Renal, Cancer_and_Neoplasm",238
GLIS3,8,"Anthropometric_and_Skeletal, Hematological, Metabolic_and_Lipid, Neurological_and_Psychiatric, Immune_and_Autoimmune, Cancer_and_Neoplasm, Hepatic_and_Renal, Cardiovascular",236
MAPT,8,"Neurological_and_Psychiatric, Anthropometric_and_Skeletal, Metabolic_and_Lipid, Immune_and_Autoimmune, Hematological, Cardiovascular, Hepatic_and_Renal, Cancer_and_Neoplasm",236
NOTCH4,8,"Immune_and_Autoimmune, Neurological_and_Psychiatric, Cancer_and_Neoplasm, Hematological, Metabolic_and_Lipid, Anthropometric_and_Skeletal, Cardiovascular, Hepatic_and_Renal",236
LINC01122,8,"Metabolic_and_Lipid, Hematological, Anthropometric_and_Skeletal, Cardiovascular, Neurological_and_Psychiatric, Immune_and_Autoimmune, Hepatic_and_Renal, Cancer_and_Neoplasm",235
MEF2C,8,"Neurological_and_Psychiatric, Hematological, Anthropometric_and_Skeletal, Metabolic_and_Lipid, Immune_and_Autoimmune, Cardiovascular, Hepatic_and_Renal, Cancer_and_Neoplasm",235
