symbol,unique_domain_count,domain_list,total_raw_traits
KRT18P3,4,"Metabolic_and_Lipid, Neurological_and_Psychiatric, Anthropometric_and_Skeletal, Hematological",13
LINC00587,4,"Anthropometric_and_Skeletal, Metabolic_and_Lipid, Hepatic_and_Renal, Neurological_and_Psychiatric",13
LINC01591,4,"Immune_and_Autoimmune, Cancer_and_Neoplasm, Anthropometric_and_Skeletal, Neurological_and_Psychiatric",13
LINC02767,4,"Cancer_and_Neoplasm, Neurological_and_Psychiatric, Cardiovascular, Anthropometric_and_Skeletal",13
LINC02953,4,"Anthropometric_and_Skeletal, Hepatic_and_Renal, Cancer_and_Neoplasm, Neurological_and_Psychiatric",13
LIPF,4,"Hepatic_and_Renal, Cardiovascular, Metabolic_and_Lipid, Cancer_and_Neoplasm",13
LOHAN2,4,"Metabolic_and_Lipid, Cancer_and_Neoplasm, Cardiovascular, Neurological_and_Psychiatric",13
LRRC47,4,"Hematological, Metabolic_and_Lipid, Cancer_and_Neoplasm, Hepatic_and_Renal",13
LYPD3,4,"Anthropometric_and_Skeletal, Immune_and_Autoimmune, Metabolic_and_Lipid, Cancer_and_Neoplasm",13
MAP2K1,4,"Cancer_and_Neoplasm, Anthropometric_and_Skeletal, Metabolic_and_Lipid, Hematological",13
MAPK14,4,"Neurological_and_Psychiatric, Metabolic_and_Lipid, Anthropometric_and_Skeletal, Immune_and_Autoimmune",13
MATN2,4,"Immune_and_Autoimmune, Anthropometric_and_Skeletal, Metabolic_and_Lipid, Cancer_and_Neoplasm",13
MECR,4,"Metabolic_and_Lipid, Neurological_and_Psychiatric, Cardiovascular, Anthropometric_and_Skeletal",13
MEG8,4,"Metabolic_and_Lipid, Cancer_and_Neoplasm, Anthropometric_and_Skeletal, Cardiovascular",13
MEIOSIN,4,"Neurological_and_Psychiatric, Anthropometric_and_Skeletal, Metabolic_and_Lipid, Cardiovascular",13
MEIS1-AS2,4,"Hematological, Immune_and_Autoimmune, Hepatic_and_Renal, Metabolic_and_Lipid",13
MFSD1,4,"Immune_and_Autoimmune, Anthropometric_and_Skeletal, Hepatic_and_Renal, Metabolic_and_Lipid",13
MINAR2,4,"Neurological_and_Psychiatric, Anthropometric_and_Skeletal, Metabolic_and_Lipid, Hepatic_and_Renal",13
MLH1,4,"Cancer_and_Neoplasm, Hematological, Neurological_and_Psychiatric, Hepatic_and_Renal",13
MOXD1,4,"Anthropometric_and_Skeletal, Metabolic_and_Lipid, Cancer_and_Neoplasm, Hepatic_and_Renal",13
MRPS18CP4,4,"Cardiovascular, Anthropometric_and_Skeletal, Neurological_and_Psychiatric, Immune_and_Autoimmune",13
MTND2P9,4,"Anthropometric_and_Skeletal, Neurological_and_Psychiatric, Metabolic_and_Lipid, Cancer_and_Neoplasm",13
NBN,4,"Immune_and_Autoimmune, Cardiovascular, Anthropometric_and_Skeletal, Cancer_and_Neoplasm",13
NCS1,4,"Neurological_and_Psychiatric, Cancer_and_Neoplasm, Anthropometric_and_Skeletal, Cardiovascular",13
NDP,4,"Anthropometric_and_Skeletal, Cancer_and_Neoplasm, Hepatic_and_Renal, Cardiovascular",13
NKD2,4,"Cancer_and_Neoplasm, Cardiovascular, Hematological, Immune_and_Autoimmune",13
NUDCD3,4,"Neurological_and_Psychiatric, Metabolic_and_Lipid, Anthropometric_and_Skeletal, Immune_and_Autoimmune",13
OR12D2,4,"Immune_and_Autoimmune, Neurological_and_Psychiatric, Metabolic_and_Lipid, Hepatic_and_Renal",13
OR4C5,4,"Metabolic_and_Lipid, Anthropometric_and_Skeletal, Cardiovascular, Neurological_and_Psychiatric",13
OSER1-DT,4,"Hematological, Immune_and_Autoimmune, Anthropometric_and_Skeletal, Metabolic_and_Lipid",13
PACC1,4,"Immune_and_Autoimmune, Neurological_and_Psychiatric, Metabolic_and_Lipid, Anthropometric_and_Skeletal",13
PARPBP,4,"Anthropometric_and_Skeletal, Metabolic_and_Lipid, Neurological_and_Psychiatric, Cancer_and_Neoplasm",13
PDE4DIP,4,"Metabolic_and_Lipid, Anthropometric_and_Skeletal, Cardiovascular, Neurological_and_Psychiatric",13
PDP2,4,"Metabolic_and_Lipid, Cardiovascular, Neurological_and_Psychiatric, Anthropometric_and_Skeletal",13
PLCB2,4,"Cardiovascular, Hepatic_and_Renal, Neurological_and_Psychiatric, Immune_and_Autoimmune",13
POM121L9P,4,"Hepatic_and_Renal, Cardiovascular, Anthropometric_and_Skeletal, Immune_and_Autoimmune",13
PTCHD4,4,"Neurological_and_Psychiatric, Metabolic_and_Lipid, Immune_and_Autoimmune, Cancer_and_Neoplasm",13
PTK7,4,"Cardiovascular, Neurological_and_Psychiatric, Metabolic_and_Lipid, Anthropometric_and_Skeletal",13
PTP4A1,4,"Metabolic_and_Lipid, Neurological_and_Psychiatric, Immune_and_Autoimmune, Hematological",13
RAMP3,4,"Hepatic_and_Renal, Metabolic_and_Lipid, Cancer_and_Neoplasm, Anthropometric_and_Skeletal",13
REN,4,"Cardiovascular, Neurological_and_Psychiatric, Anthropometric_and_Skeletal, Immune_and_Autoimmune",13
RFWD3,4,"Hematological, Cancer_and_Neoplasm, Anthropometric_and_Skeletal, Hepatic_and_Renal",13
RHBDF2,4,"Immune_and_Autoimmune, Hematological, Metabolic_and_Lipid, Cancer_and_Neoplasm",13
RN7SKP228,4,"Hematological, Hepatic_and_Renal, Anthropometric_and_Skeletal, Cancer_and_Neoplasm",13
RN7SL87P,4,"Immune_and_Autoimmune, Cardiovascular, Cancer_and_Neoplasm, Anthropometric_and_Skeletal",13
RNF10P1,4,"Metabolic_and_Lipid, Immune_and_Autoimmune, Neurological_and_Psychiatric, Anthropometric_and_Skeletal",13
RNF126,4,"Metabolic_and_Lipid, Cancer_and_Neoplasm, Anthropometric_and_Skeletal, Cardiovascular",13
RNU6-1249P,4,"Anthropometric_and_Skeletal, Cardiovascular, Cancer_and_Neoplasm, Metabolic_and_Lipid",13
RNU6-210P,4,"Immune_and_Autoimmune, Hematological, Metabolic_and_Lipid, Cancer_and_Neoplasm",13
RNU6-461P,4,"Cancer_and_Neoplasm, Metabolic_and_Lipid, Cardiovascular, Neurological_and_Psychiatric",13
RPL12P6,4,"Hematological, Anthropometric_and_Skeletal, Metabolic_and_Lipid, Cardiovascular",13
RPL19P1,4,"Cardiovascular, Neurological_and_Psychiatric, Immune_and_Autoimmune, Cancer_and_Neoplasm",13
RPL37P2,4,"Anthropometric_and_Skeletal, Hepatic_and_Renal, Cancer_and_Neoplasm, Metabolic_and_Lipid",13
RPL3L,4,"Hepatic_and_Renal, Hematological, Cardiovascular, Anthropometric_and_Skeletal",13
RPS25P10,4,"Hematological, Cancer_and_Neoplasm, Anthropometric_and_Skeletal, Cardiovascular",13
RPS6KC1,4,"Cancer_and_Neoplasm, Metabolic_and_Lipid, Immune_and_Autoimmune, Anthropometric_and_Skeletal",13
SANBR,4,"Immune_and_Autoimmune, Hematological, Anthropometric_and_Skeletal, Cardiovascular",13
SEH1L,4,"Neurological_and_Psychiatric, Anthropometric_and_Skeletal, Hepatic_and_Renal, Hematological",13
SFSWAP,4,"Metabolic_and_Lipid, Neurological_and_Psychiatric, Anthropometric_and_Skeletal, Cardiovascular",13
SHC4,4,"Anthropometric_and_Skeletal, Neurological_and_Psychiatric, Hepatic_and_Renal, Metabolic_and_Lipid",13
SHISAL1,4,"Neurological_and_Psychiatric, Anthropometric_and_Skeletal, Metabolic_and_Lipid, Cancer_and_Neoplasm",13
SLC15A4,4,"Immune_and_Autoimmune, Neurological_and_Psychiatric, Metabolic_and_Lipid, Anthropometric_and_Skeletal",13
SLC16A1-AS1,4,"Cardiovascular, Metabolic_and_Lipid, Immune_and_Autoimmune, Anthropometric_and_Skeletal",13
SLC29A3,4,"Immune_and_Autoimmune, Metabolic_and_Lipid, Neurological_and_Psychiatric, Cancer_and_Neoplasm",13
SLC7A11,4,"Immune_and_Autoimmune, Neurological_and_Psychiatric, Metabolic_and_Lipid, Anthropometric_and_Skeletal",13
SLC7A15P,4,"Anthropometric_and_Skeletal, Cardiovascular, Cancer_and_Neoplasm, Metabolic_and_Lipid",13
SLCO4C1,4,"Metabolic_and_Lipid, Anthropometric_and_Skeletal, Cancer_and_Neoplasm, Immune_and_Autoimmune",13
SMAP2,4,"Hematological, Cancer_and_Neoplasm, Anthropometric_and_Skeletal, Immune_and_Autoimmune",13
SNX27,4,"Metabolic_and_Lipid, Immune_and_Autoimmune, Hematological, Cardiovascular",13
SOCS2-AS1,4,"Anthropometric_and_Skeletal, Hematological, Immune_and_Autoimmune, Metabolic_and_Lipid",13
SPAG4,4,"Anthropometric_and_Skeletal, Metabolic_and_Lipid, Neurological_and_Psychiatric, Hematological",13
SPATC1,4,"Neurological_and_Psychiatric, Hematological, Immune_and_Autoimmune, Metabolic_and_Lipid",13
SPEF1,4,"Anthropometric_and_Skeletal, Neurological_and_Psychiatric, Immune_and_Autoimmune, Hematological",13
SRCAP,4,"Hematological, Immune_and_Autoimmune, Metabolic_and_Lipid, Cardiovascular",13
STBD1P1,4,"Cancer_and_Neoplasm, Hematological, Immune_and_Autoimmune, Anthropometric_and_Skeletal",13
SYT13,4,"Cardiovascular, Neurological_and_Psychiatric, Metabolic_and_Lipid, Anthropometric_and_Skeletal",13
TCP10L3,4,"Metabolic_and_Lipid, Neurological_and_Psychiatric, Anthropometric_and_Skeletal, Cancer_and_Neoplasm",13
TM9SF2,4,"Immune_and_Autoimmune, Cardiovascular, Metabolic_and_Lipid, Neurological_and_Psychiatric",13
TMED11P,4,"Anthropometric_and_Skeletal, Hematological, Immune_and_Autoimmune, Metabolic_and_Lipid",13
TMEM250,4,"Immune_and_Autoimmune, Metabolic_and_Lipid, Neurological_and_Psychiatric, Anthropometric_and_Skeletal",13
TPH2,4,"Metabolic_and_Lipid, Neurological_and_Psychiatric, Anthropometric_and_Skeletal, Cancer_and_Neoplasm",13
TTLL12,4,"Hematological, Anthropometric_and_Skeletal, Immune_and_Autoimmune, Cancer_and_Neoplasm",13
VN1R5,4,"Hematological, Cancer_and_Neoplasm, Anthropometric_and_Skeletal, Neurological_and_Psychiatric",13
VPS26C,4,"Neurological_and_Psychiatric, Immune_and_Autoimmune, Cancer_and_Neoplasm, Metabolic_and_Lipid",13
WDR33,4,"Cardiovascular, Immune_and_Autoimmune, Metabolic_and_Lipid, Anthropometric_and_Skeletal",13
XKR5,4,"Immune_and_Autoimmune, Cancer_and_Neoplasm, Anthropometric_and_Skeletal, Metabolic_and_Lipid",13
ZEB2P1,4,"Immune_and_Autoimmune, Neurological_and_Psychiatric, Cancer_and_Neoplasm, Hepatic_and_Renal",13
ZFYVE9P2,4,"Immune_and_Autoimmune, Neurological_and_Psychiatric, Anthropometric_and_Skeletal, Metabolic_and_Lipid",13
ZNF300P1,4,"Cancer_and_Neoplasm, Cardiovascular, Immune_and_Autoimmune, Anthropometric_and_Skeletal",13
ACTL8,4,"Neurological_and_Psychiatric, Anthropometric_and_Skeletal, Cancer_and_Neoplasm, Metabolic_and_Lipid",12
ADAM9,4,"Metabolic_and_Lipid, Anthropometric_and_Skeletal, Cancer_and_Neoplasm, Neurological_and_Psychiatric",12
AFF4-DT,4,"Metabolic_and_Lipid, Anthropometric_and_Skeletal, Hepatic_and_Renal, Immune_and_Autoimmune",12
AHCYL2,4,"Anthropometric_and_Skeletal, Hematological, Neurological_and_Psychiatric, Cardiovascular",12
ALG12,4,"Hematological, Immune_and_Autoimmune, Anthropometric_and_Skeletal, Neurological_and_Psychiatric",12
ANGPTL2,4,"Anthropometric_and_Skeletal, Metabolic_and_Lipid, Neurological_and_Psychiatric, Cancer_and_Neoplasm",12
ANKEF1,4,"Neurological_and_Psychiatric, Anthropometric_and_Skeletal, Metabolic_and_Lipid, Immune_and_Autoimmune",12
ANKRD12,4,"Hematological, Metabolic_and_Lipid, Anthropometric_and_Skeletal, Immune_and_Autoimmune",12
ANKRD26,4,"Hematological, Metabolic_and_Lipid, Immune_and_Autoimmune, Anthropometric_and_Skeletal",12
AOX1,4,"Hepatic_and_Renal, Neurological_and_Psychiatric, Anthropometric_and_Skeletal, Metabolic_and_Lipid",12
ARHGAP44,4,"Anthropometric_and_Skeletal, Metabolic_and_Lipid, Cancer_and_Neoplasm, Neurological_and_Psychiatric",12
ARMC8,4,"Hematological, Anthropometric_and_Skeletal, Metabolic_and_Lipid, Cardiovascular",12
ASL,4,"Metabolic_and_Lipid, Hepatic_and_Renal, Anthropometric_and_Skeletal, Neurological_and_Psychiatric",12
B3GAT2,4,"Neurological_and_Psychiatric, Hematological, Metabolic_and_Lipid, Anthropometric_and_Skeletal",12
BBS1,4,"Hematological, Neurological_and_Psychiatric, Anthropometric_and_Skeletal, Metabolic_and_Lipid",12
BHLHE41,4,"Neurological_and_Psychiatric, Hematological, Anthropometric_and_Skeletal, Metabolic_and_Lipid",12
BLM,4,"Anthropometric_and_Skeletal, Neurological_and_Psychiatric, Cardiovascular, Metabolic_and_Lipid",12
BNIP3P44,4,"Hepatic_and_Renal, Neurological_and_Psychiatric, Anthropometric_and_Skeletal, Metabolic_and_Lipid",12
BTBD7,4,"Hematological, Cardiovascular, Metabolic_and_Lipid, Hepatic_and_Renal",12
BTBD8,4,"Immune_and_Autoimmune, Metabolic_and_Lipid, Anthropometric_and_Skeletal, Hepatic_and_Renal",12
C13orf42,4,"Cardiovascular, Neurological_and_Psychiatric, Cancer_and_Neoplasm, Anthropometric_and_Skeletal",12
CASP10,4,"Immune_and_Autoimmune, Cancer_and_Neoplasm, Hematological, Anthropometric_and_Skeletal",12
CATSPERT,4,"Hematological, Cancer_and_Neoplasm, Metabolic_and_Lipid, Anthropometric_and_Skeletal",12
CCDC122,4,"Neurological_and_Psychiatric, Immune_and_Autoimmune, Hematological, Cardiovascular",12
CCT6A,4,"Anthropometric_and_Skeletal, Cardiovascular, Hepatic_and_Renal, Metabolic_and_Lipid",12
CD3E,4,"Hematological, Cancer_and_Neoplasm, Anthropometric_and_Skeletal, Immune_and_Autoimmune",12
CDC14C,4,"Metabolic_and_Lipid, Cancer_and_Neoplasm, Cardiovascular, Anthropometric_and_Skeletal",12
CENPT,4,"Hematological, Neurological_and_Psychiatric, Metabolic_and_Lipid, Anthropometric_and_Skeletal",12
CEP152,4,"Cardiovascular, Cancer_and_Neoplasm, Anthropometric_and_Skeletal, Metabolic_and_Lipid",12
CETN3,4,"Metabolic_and_Lipid, Neurological_and_Psychiatric, Anthropometric_and_Skeletal, Cardiovascular",12
CFAP74,4,"Metabolic_and_Lipid, Hepatic_and_Renal, Cancer_and_Neoplasm, Anthropometric_and_Skeletal",12
CHAT,4,"Cancer_and_Neoplasm, Metabolic_and_Lipid, Hepatic_and_Renal, Anthropometric_and_Skeletal",12
CISH,4,"Immune_and_Autoimmune, Cancer_and_Neoplasm, Metabolic_and_Lipid, Neurological_and_Psychiatric",12
CLEC3A,4,"Anthropometric_and_Skeletal, Cardiovascular, Cancer_and_Neoplasm, Neurological_and_Psychiatric",12
COG2,4,"Neurological_and_Psychiatric, Hepatic_and_Renal, Immune_and_Autoimmune, Metabolic_and_Lipid",12
COX6CP11,4,"Immune_and_Autoimmune, Neurological_and_Psychiatric, Anthropometric_and_Skeletal, Hematological",12
COX7CP3,4,"Immune_and_Autoimmune, Hepatic_and_Renal, Cancer_and_Neoplasm, Metabolic_and_Lipid",12
CPEB2,4,"Metabolic_and_Lipid, Neurological_and_Psychiatric, Anthropometric_and_Skeletal, Cardiovascular",12
CPSF4,4,"Immune_and_Autoimmune, Hepatic_and_Renal, Neurological_and_Psychiatric, Metabolic_and_Lipid",12
CTBP1,4,"Metabolic_and_Lipid, Anthropometric_and_Skeletal, Hematological, Cancer_and_Neoplasm",12
CTNNAL1,4,"Neurological_and_Psychiatric, Cardiovascular, Anthropometric_and_Skeletal, Metabolic_and_Lipid",12
CUTC,4,"Metabolic_and_Lipid, Immune_and_Autoimmune, Cancer_and_Neoplasm, Hepatic_and_Renal",12
CYS1,4,"Anthropometric_and_Skeletal, Hematological, Cancer_and_Neoplasm, Cardiovascular",12
DCLRE1B,4,"Cancer_and_Neoplasm, Immune_and_Autoimmune, Cardiovascular, Metabolic_and_Lipid",12
DIS3L,4,"Metabolic_and_Lipid, Hematological, Neurological_and_Psychiatric, Anthropometric_and_Skeletal",12
DSC3,4,"Hepatic_and_Renal, Metabolic_and_Lipid, Cardiovascular, Anthropometric_and_Skeletal",12
EBF4,4,"Anthropometric_and_Skeletal, Metabolic_and_Lipid, Cancer_and_Neoplasm, Neurological_and_Psychiatric",12
EDNRB,4,"Anthropometric_and_Skeletal, Neurological_and_Psychiatric, Cardiovascular, Metabolic_and_Lipid",12
EGR1,4,"Neurological_and_Psychiatric, Cancer_and_Neoplasm, Hematological, Anthropometric_and_Skeletal",12
ETF1,4,"Neurological_and_Psychiatric, Hematological, Metabolic_and_Lipid, Immune_and_Autoimmune",12
ETV3,4,"Cancer_and_Neoplasm, Hepatic_and_Renal, Immune_and_Autoimmune, Anthropometric_and_Skeletal",12
FAM185BP,4,"Metabolic_and_Lipid, Immune_and_Autoimmune, Anthropometric_and_Skeletal, Cardiovascular",12
FBXO24,4,"Hematological, Anthropometric_and_Skeletal, Neurological_and_Psychiatric, Metabolic_and_Lipid",12
FBXO42,4,"Metabolic_and_Lipid, Anthropometric_and_Skeletal, Neurological_and_Psychiatric, Cancer_and_Neoplasm",12
FGF20,4,"Neurological_and_Psychiatric, Immune_and_Autoimmune, Metabolic_and_Lipid, Anthropometric_and_Skeletal",12
FITM2,4,"Neurological_and_Psychiatric, Metabolic_and_Lipid, Hematological, Cardiovascular",12
GAPDHS,4,"Hematological, Cardiovascular, Metabolic_and_Lipid, Hepatic_and_Renal",12
GCLC-AS1,4,"Anthropometric_and_Skeletal, Cancer_and_Neoplasm, Hepatic_and_Renal, Metabolic_and_Lipid",12
GIPC1,4,"Hepatic_and_Renal, Neurological_and_Psychiatric, Cancer_and_Neoplasm, Anthropometric_and_Skeletal",12
GLYATL1-AS1,4,"Anthropometric_and_Skeletal, Metabolic_and_Lipid, Hepatic_and_Renal, Immune_and_Autoimmune",12
GNA11,4,"Cardiovascular, Hematological, Immune_and_Autoimmune, Cancer_and_Neoplasm",12
GORASP2,4,"Neurological_and_Psychiatric, Hematological, Anthropometric_and_Skeletal, Hepatic_and_Renal",12
GOT1,4,"Immune_and_Autoimmune, Hepatic_and_Renal, Hematological, Cancer_and_Neoplasm",12
GTPBP2,4,"Anthropometric_and_Skeletal, Metabolic_and_Lipid, Hematological, Immune_and_Autoimmune",12
H2BC14,4,"Immune_and_Autoimmune, Neurological_and_Psychiatric, Anthropometric_and_Skeletal, Hepatic_and_Renal",12
H3C6,4,"Neurological_and_Psychiatric, Hematological, Immune_and_Autoimmune, Anthropometric_and_Skeletal",12
HIKESHI,4,"Neurological_and_Psychiatric, Metabolic_and_Lipid, Hepatic_and_Renal, Anthropometric_and_Skeletal",12
HNRNPH1,4,"Neurological_and_Psychiatric, Immune_and_Autoimmune, Cardiovascular, Anthropometric_and_Skeletal",12
INAFM2,4,"Anthropometric_and_Skeletal, Metabolic_and_Lipid, Immune_and_Autoimmune, Hematological",12
INCA1,4,"Neurological_and_Psychiatric, Metabolic_and_Lipid, Cancer_and_Neoplasm, Hematological",12
IWS1,4,"Cardiovascular, Immune_and_Autoimmune, Metabolic_and_Lipid, Neurological_and_Psychiatric",12
KERA,4,"Cardiovascular, Anthropometric_and_Skeletal, Metabolic_and_Lipid, Neurological_and_Psychiatric",12
KIDINS220,4,"Immune_and_Autoimmune, Metabolic_and_Lipid, Anthropometric_and_Skeletal, Cancer_and_Neoplasm",12
KLHDC4,4,"Neurological_and_Psychiatric, Anthropometric_and_Skeletal, Metabolic_and_Lipid, Cancer_and_Neoplasm",12
KNSTRN,4,"Cardiovascular, Metabolic_and_Lipid, Hepatic_and_Renal, Cancer_and_Neoplasm",12
LINC01099,4,"Neurological_and_Psychiatric, Metabolic_and_Lipid, Immune_and_Autoimmune, Hematological",12
LINC01692,4,"Metabolic_and_Lipid, Cancer_and_Neoplasm, Hepatic_and_Renal, Immune_and_Autoimmune",12
LINC01781,4,"Metabolic_and_Lipid, Immune_and_Autoimmune, Neurological_and_Psychiatric, Cardiovascular",12
LINC01928,4,"Neurological_and_Psychiatric, Metabolic_and_Lipid, Cardiovascular, Cancer_and_Neoplasm",12
LINC02084,4,"Immune_and_Autoimmune, Neurological_and_Psychiatric, Cancer_and_Neoplasm, Hematological",12
LINC02086,4,"Cancer_and_Neoplasm, Anthropometric_and_Skeletal, Cardiovascular, Metabolic_and_Lipid",12
LINC02377,4,"Metabolic_and_Lipid, Neurological_and_Psychiatric, Anthropometric_and_Skeletal, Cancer_and_Neoplasm",12
LINC02573,4,"Metabolic_and_Lipid, Neurological_and_Psychiatric, Cancer_and_Neoplasm, Immune_and_Autoimmune",12
LINC02615,4,"Cardiovascular, Metabolic_and_Lipid, Anthropometric_and_Skeletal, Hematological",12
LINC02629,4,"Anthropometric_and_Skeletal, Metabolic_and_Lipid, Neurological_and_Psychiatric, Cancer_and_Neoplasm",12
LINC02665,4,"Hematological, Anthropometric_and_Skeletal, Cancer_and_Neoplasm, Neurological_and_Psychiatric",12
LINC03033,4,"Metabolic_and_Lipid, Neurological_and_Psychiatric, Hepatic_and_Renal, Anthropometric_and_Skeletal",12
LINC03079,4,"Metabolic_and_Lipid, Neurological_and_Psychiatric, Anthropometric_and_Skeletal, Immune_and_Autoimmune",12
LNCARSR,4,"Anthropometric_and_Skeletal, Neurological_and_Psychiatric, Cancer_and_Neoplasm, Immune_and_Autoimmune",12
LONRF1,4,"Metabolic_and_Lipid, Neurological_and_Psychiatric, Cancer_and_Neoplasm, Anthropometric_and_Skeletal",12
LRRC4,4,"Neurological_and_Psychiatric, Cancer_and_Neoplasm, Anthropometric_and_Skeletal, Metabolic_and_Lipid",12
LY6G5B,4,"Immune_and_Autoimmune, Neurological_and_Psychiatric, Anthropometric_and_Skeletal, Hepatic_and_Renal",12
MBTD1,4,"Neurological_and_Psychiatric, Cardiovascular, Anthropometric_and_Skeletal, Metabolic_and_Lipid",12
MBTPS1,4,"Cancer_and_Neoplasm, Cardiovascular, Metabolic_and_Lipid, Anthropometric_and_Skeletal",12
MCAM,4,"Hematological, Immune_and_Autoimmune, Metabolic_and_Lipid, Anthropometric_and_Skeletal",12
MDC1,4,"Immune_and_Autoimmune, Neurological_and_Psychiatric, Anthropometric_and_Skeletal, Hematological",12
MIR301B,4,"Hepatic_and_Renal, Metabolic_and_Lipid, Cardiovascular, Anthropometric_and_Skeletal",12
MIR3135B,4,"Neurological_and_Psychiatric, Immune_and_Autoimmune, Anthropometric_and_Skeletal, Metabolic_and_Lipid",12
MIR3945HG,4,"Hematological, Immune_and_Autoimmune, Hepatic_and_Renal, Metabolic_and_Lipid",12
MROH1,4,"Anthropometric_and_Skeletal, Cancer_and_Neoplasm, Metabolic_and_Lipid, Neurological_and_Psychiatric",12
MROH3P,4,"Neurological_and_Psychiatric, Immune_and_Autoimmune, Metabolic_and_Lipid, Anthropometric_and_Skeletal",12
MRPS16P2,4,"Anthropometric_and_Skeletal, Cardiovascular, Hematological, Metabolic_and_Lipid",12
MRPS9-AS2,4,"Metabolic_and_Lipid, Anthropometric_and_Skeletal, Immune_and_Autoimmune, Cardiovascular",12
MSLN,4,"Hematological, Cancer_and_Neoplasm, Metabolic_and_Lipid, Anthropometric_and_Skeletal",12
MTND5P42,4,"Metabolic_and_Lipid, Cancer_and_Neoplasm, Anthropometric_and_Skeletal, Cardiovascular",12
MUC6,4,"Immune_and_Autoimmune, Metabolic_and_Lipid, Neurological_and_Psychiatric, Cardiovascular",12
MX2,4,"Cancer_and_Neoplasm, Neurological_and_Psychiatric, Cardiovascular, Anthropometric_and_Skeletal",12
MYLK-AS1,4,"Cardiovascular, Metabolic_and_Lipid, Hematological, Neurological_and_Psychiatric",12
NDRG4,4,"Cardiovascular, Hepatic_and_Renal, Neurological_and_Psychiatric, Anthropometric_and_Skeletal",12
NDUFA12,4,"Cardiovascular, Anthropometric_and_Skeletal, Neurological_and_Psychiatric, Hematological",12
NIPAL3,4,"Anthropometric_and_Skeletal, Cancer_and_Neoplasm, Neurological_and_Psychiatric, Immune_and_Autoimmune",12
NLGN2,4,"Anthropometric_and_Skeletal, Metabolic_and_Lipid, Neurological_and_Psychiatric, Hematological",12
NLRC3,4,"Metabolic_and_Lipid, Immune_and_Autoimmune, Hematological, Hepatic_and_Renal",12
NME6,4,"Neurological_and_Psychiatric, Cardiovascular, Anthropometric_and_Skeletal, Metabolic_and_Lipid",12
NR2E3,4,"Anthropometric_and_Skeletal, Hematological, Cardiovascular, Metabolic_and_Lipid",12
OR10X1,4,"Neurological_and_Psychiatric, Hematological, Metabolic_and_Lipid, Immune_and_Autoimmune",12
OR11M1P,4,"Anthropometric_and_Skeletal, Immune_and_Autoimmune, Cardiovascular, Metabolic_and_Lipid",12
PALM,4,"Metabolic_and_Lipid, Neurological_and_Psychiatric, Cancer_and_Neoplasm, Anthropometric_and_Skeletal",12
PGLYRP3,4,"Immune_and_Autoimmune, Cardiovascular, Metabolic_and_Lipid, Neurological_and_Psychiatric",12
PHF7,4,"Metabolic_and_Lipid, Neurological_and_Psychiatric, Cardiovascular, Hematological",12
PLCH2,4,"Neurological_and_Psychiatric, Immune_and_Autoimmune, Metabolic_and_Lipid, Cancer_and_Neoplasm",12
PMS1,4,"Cancer_and_Neoplasm, Metabolic_and_Lipid, Neurological_and_Psychiatric, Hepatic_and_Renal",12
PMS2P1,4,"Hematological, Metabolic_and_Lipid, Neurological_and_Psychiatric, Anthropometric_and_Skeletal",12
POPDC1,4,"Anthropometric_and_Skeletal, Cardiovascular, Cancer_and_Neoplasm, Metabolic_and_Lipid",12
POU1F1,4,"Anthropometric_and_Skeletal, Metabolic_and_Lipid, Cancer_and_Neoplasm, Immune_and_Autoimmune",12
PRIM2,4,"Cardiovascular, Immune_and_Autoimmune, Anthropometric_and_Skeletal, Neurological_and_Psychiatric",12
PRKG1-AS1,4,"Anthropometric_and_Skeletal, Metabolic_and_Lipid, Hepatic_and_Renal, Neurological_and_Psychiatric",12
PRSS53,4,"Immune_and_Autoimmune, Neurological_and_Psychiatric, Anthropometric_and_Skeletal, Metabolic_and_Lipid",12
PSD,4,"Cancer_and_Neoplasm, Anthropometric_and_Skeletal, Metabolic_and_Lipid, Neurological_and_Psychiatric",12
QTMAN,4,"Neurological_and_Psychiatric, Immune_and_Autoimmune, Metabolic_and_Lipid, Cancer_and_Neoplasm",12
RALBP1,4,"Metabolic_and_Lipid, Hematological, Anthropometric_and_Skeletal, Cancer_and_Neoplasm",12
REEP5,4,"Anthropometric_and_Skeletal, Metabolic_and_Lipid, Neurological_and_Psychiatric, Hematological",12
RFC3P1,4,"Cancer_and_Neoplasm, Neurological_and_Psychiatric, Immune_and_Autoimmune, Hematological",12
RN7SL58P,4,"Cardiovascular, Anthropometric_and_Skeletal, Cancer_and_Neoplasm, Immune_and_Autoimmune",12
RNF217,4,"Metabolic_and_Lipid, Cancer_and_Neoplasm, Hematological, Anthropometric_and_Skeletal",12
RNU2-55P,4,"Metabolic_and_Lipid, Immune_and_Autoimmune, Anthropometric_and_Skeletal, Cancer_and_Neoplasm",12
RNU6-1066P,4,"Neurological_and_Psychiatric, Cardiovascular, Metabolic_and_Lipid, Anthropometric_and_Skeletal",12
RNU6-229P,4,"Anthropometric_and_Skeletal, Neurological_and_Psychiatric, Cardiovascular, Immune_and_Autoimmune",12
RNU6-827P,4,"Metabolic_and_Lipid, Immune_and_Autoimmune, Cardiovascular, Hepatic_and_Renal",12
RNU6-939P,4,"Immune_and_Autoimmune, Cardiovascular, Metabolic_and_Lipid, Anthropometric_and_Skeletal",12
